prompt_id,variant_type,seed,language,language_name,phash_distance_to_en,ssim_to_en,structural_drift_to_en,hist_l1_to_en
S06_attribute_swap,attribute_swap,2026051801,fr,French,0.4375,0.27629738933637976,0.7237026106636202,1.883697509765625
S06_attribute_swap,attribute_swap,2026051802,en,English,0.0,1.0,0.0,0.0
S06_attribute_swap,attribute_swap,2026051802,zh,Chinese,0.25,0.6034414960561407,0.3965585039438593,1.5384521484375
S06_attribute_swap,attribute_swap,2026051802,hi,Hindi,0.375,0.257851815411239,0.742148184588761,1.35455322265625
S06_attribute_swap,attribute_swap,2026051802,es,Spanish,0.3125,0.5168333347225206,0.4831666652774794,1.070068359375
S06_attribute_swap,attribute_swap,2026051802,fr,French,0.25,0.7725059733810603,0.2274940266189397,0.726287841796875
S06_base,base,2026051801,en,English,0.0,1.0,0.0,0.0
S06_base,base,2026051801,zh,Chinese,0.28125,0.3602651999954598,0.6397348000045402,1.331451416015625
S06_base,base,2026051801,hi,Hindi,0.5,-0.02075635504824222,1.0207563550482421,1.933013916015625
S06_base,base,2026051801,es,Spanish,0.40625,0.4433932437734983,0.5566067562265017,1.752288818359375
S06_base,base,2026051801,fr,French,0.375,0.6886632765381973,0.31133672346180274,0.52154541015625
S06_base,base,2026051802,en,English,0.0,1.0,0.0,0.0
S06_base,base,2026051802,zh,Chinese,0.34375,0.21604784951558628,0.7839521504844137,1.80096435546875
S06_base,base,2026051802,hi,Hindi,0.40625,0.3873011948584391,0.6126988051415609,1.552276611328125
S06_base,base,2026051802,es,Spanish,0.375,0.49350579862572247,0.5064942013742775,1.05743408203125
S06_base,base,2026051802,fr,French,0.34375,0.48430520752798395,0.5156947924720161,1.3140869140625
S06_quantity_shift,quantity_shift,2026051801,en,English,0.0,1.0,0.0,0.0
S06_quantity_shift,quantity_shift,2026051801,zh,Chinese,0.28125,0.4310528398814801,0.5689471601185199,1.33233642578125
S06_quantity_shift,quantity_shift,2026051801,hi,Hindi,0.4375,0.14165315517020316,0.8583468448297968,1.975067138671875
S06_quantity_shift,quantity_shift,2026051801,es,Spanish,0.53125,0.5433115480766142,0.4566884519233858,1.48651123046875
S06_quantity_shift,quantity_shift,2026051801,fr,French,0.40625,0.36149630800212523,0.6385036919978748,1.830108642578125
S06_quantity_shift,quantity_shift,2026051802,en,English,0.0,1.0,0.0,0.0
S06_quantity_shift,quantity_shift,2026051802,zh,Chinese,0.40625,0.3442892369439999,0.6557107630560002,1.5770263671875
S06_quantity_shift,quantity_shift,2026051802,hi,Hindi,0.28125,0.5209359284208627,0.47906407157913733,1.521697998046875
S06_quantity_shift,quantity_shift,2026051802,es,Spanish,0.34375,0.5197830983702735,0.4802169016297265,1.07476806640625
S06_quantity_shift,quantity_shift,2026051802,fr,French,0.4375,0.21745620008341568,0.7825437999165843,1.54681396484375
S06_synonym,synonym,2026051801,en,English,0.0,1.0,0.0,0.0
S06_synonym,synonym,2026051801,zh,Chinese,0.34375,0.08769041462073388,0.9123095853792661,1.06988525390625
S06_synonym,synonym,2026051801,hi,Hindi,0.34375,0.2579396339605574,0.7420603660394426,1.517486572265625
S06_synonym,synonym,2026051801,es,Spanish,0.34375,0.5884822214032381,0.41151777859676186,0.6702880859375
S06_synonym,synonym,2026051801,fr,French,0.25,0.6369139725728983,0.3630860274271017,1.048065185546875
S06_synonym,synonym,2026051802,en,English,0.0,1.0,0.0,0.0
S06_synonym,synonym,2026051802,zh,Chinese,0.3125,0.5434682148388482,0.4565317851611518,1.5504150390625
S06_synonym,synonym,2026051802,hi,Hindi,0.375,0.3116886015940539,0.6883113984059461,1.491424560546875
S06_synonym,synonym,2026051802,es,Spanish,0.25,0.7212399270101872,0.27876007298981276,1.403289794921875
S06_synonym,synonym,2026051802,fr,French,0.3125,0.570101383116624,0.42989861688337605,1.37567138671875
S06_word_order,word_order,2026051801,en,English,0.0,1.0,0.0,0.0
S06_word_order,word_order,2026051801,zh,Chinese,0.375,0.3125531568412627,0.6874468431587373,1.404754638671875
S06_word_order,word_order,2026051801,hi,Hindi,0.4375,0.23143457239037848,0.7685654276096215,1.8944091796875
S06_word_order,word_order,2026051801,es,Spanish,0.375,0.5585496526905419,0.4414503473094581,1.532684326171875
S06_word_order,word_order,2026051801,fr,French,0.3125,0.5997418719077316,0.40025812809226835,1.740997314453125
S06_word_order,word_order,2026051802,en,English,0.0,1.0,0.0,0.0
S06_word_order,word_order,2026051802,zh,Chinese,0.375,0.5342805775018108,0.4657194224981892,1.626953125
S06_word_order,word_order,2026051802,hi,Hindi,0.34375,0.4034022810175669,0.5965977189824331,1.67584228515625
S06_word_order,word_order,2026051802,es,Spanish,0.34375,0.6182539633406116,0.38174603665938844,1.33111572265625
S06_word_order,word_order,2026051802,fr,French,0.375,0.45195435881036916,0.5480456411896308,1.48028564453125
S07_attribute_swap,attribute_swap,2026051801,en,English,0.0,1.0,0.0,0.0
S07_attribute_swap,attribute_swap,2026051801,zh,Chinese,0.46875,0.025744588185716687,0.9742554118142833,1.65350341796875
S07_attribute_swap,attribute_swap,2026051801,hi,Hindi,0.46875,0.01959472223866928,0.9804052777613307,1.5203857421875
S07_attribute_swap,attribute_swap,2026051801,es,Spanish,0.46875,0.40103418422054077,0.5989658157794593,1.0037841796875
S07_attribute_swap,attribute_swap,2026051801,fr,French,0.34375,0.4127339183881364,0.5872660816118636,1.209197998046875
S07_attribute_swap,attribute_swap,2026051802,en,English,0.0,1.0,0.0,0.0
S07_attribute_swap,attribute_swap,2026051802,zh,Chinese,0.40625,0.20065349307338903,0.799346506926611,1.899627685546875
